Date,Open,Close,High,Low,Adj Close,Volume
2016/8/31,211.539993,211.970001,212.770004,209.259995,209.157822,760600
2016/9/1,211.899994,215.910004,217.080002,210.919998,213.045547,1128900
2016/9/2,217,214.910004,218.369995,212,212.058807,1547300
2016/9/6,217.509995,222,224.179993,216.630005,219.054749,2173700
2016/9/7,221.889999,218.929993,222.619995,217.899994,216.025467,1140200
2016/9/8,219,221.679993,223.25,217.509995,218.738983,716300
2016/9/9,220,213.169998,222.440002,211.210007,210.341888,939900
2016/9/12,208.300003,230.070007,230.550003,208.020004,227.017685,1756400
2016/9/13,228.690002,231.270004,240.470001,228.679993,228.201767,2813400
2016/9/14,232.350006,234.759995,243.149994,232.350006,231.645447,2490500
2016/9/15,235.759995,237.75,239.199997,232.570007,234.595795,897800
2016/9/16,237.5,238.029999,242.979996,236.25,234.87207,1218200
2016/9/19,242.130005,248.990005,252.419998,240.529999,245.686661,2192000
2016/9/20,249.970001,244.139999,252.970001,241.100006,240.901016,1488400
2016/9/21,247.990005,249.539993,251.470001,246,246.229355,1326000
2016/9/22,251.25,252.050003,254.479996,249.740005,248.70607,1284900
2016/9/23,248.100006,247.419998,249.899994,245.820007,244.137482,1019800
2016/9/26,243.210007,241.210007,243.830002,237.229996,238.009888,1693900
2016/9/27,243.869995,244.149994,248.570007,242.5,240.910889,1032100
2016/9/28,245,243.490005,246.229996,241.550003,240.259628,594800
2016/9/29,242.449997,242.059998,244.300003,241.089996,238.848602,840500
2016/9/30,243.470001,240.779999,243.979996,238.020004,237.585587,769300
2016/10/3,243.740005,244.860001,247.869995,243.309998,241.611465,647600
2016/10/4,246.720001,248.600006,250.970001,246.199997,245.301834,1002200
2016/10/5,248.699997,248.130005,249.75,247.259995,244.838074,630800
2016/10/6,247.470001,255.979996,256.73999,244.889999,252.583923,1080800
2016/10/7,255.020004,252.949997,257.559998,250.369995,249.594147,809300
2016/10/10,254.5,261.339996,262.720001,254.5,257.872833,866400
2016/10/11,261.339996,254.199997,261.339996,253.300003,250.827545,1146500
2016/10/12,255.160004,261.420013,270.929993,254.5,257.951752,2036700
2016/10/13,258.26001,261.980011,263.5,252.320007,258.504333,1361300
2016/10/14,265.880005,261.369995,272.579987,259.820007,257.902435,1667000
2016/10/17,261.480011,261.100006,263.869995,258.589996,257.636017,832000
2016/10/18,264.640015,265.570007,268.98999,264.480011,262.046692,880100
